date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:10	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfont.svg?v=4.0.3	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfontba72.svg	(from https://p.w3layouts.com/demos/marital/web/css/font-awesome.css)
14:45:10	122092/122092	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfont.ttf?v=4.0.3	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfontba72.ttf	(from https://p.w3layouts.com/demos/marital/web/css/font-awesome.css)
14:45:11	30072/30072	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/a3.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a3.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:12	5114/5114	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/a1.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a1.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:13	7092/7092	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/a2.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a2.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:14	7433/7433	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/a4.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a4.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:15	9835/9835	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/a5.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a5.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:16	6680/6680	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/a6.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a6.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:17	7119/7119	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/a7.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a7.jpg	(from https://p.w3layouts.com/demos/marital/web/about.html)
14:45:18	7797/7797	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/a8.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/a8.jpg	(from https://p.w3layouts.com/demos/marital/web/matches.html)
14:45:19	12339/12339	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/v1.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/v1.jpg	(from https://p.w3layouts.com/demos/marital/web/viewed-profile.html)
14:45:22	564/564	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2009:15:20%20GMT	https://p.w3layouts.com/demos/marital/web/jobs_single.html	template/matrimonial/p.w3layouts.com/demos/marital/web/jobs_single.html	(from https://p.w3layouts.com/demos/marital/web/viewed-profile.html)
14:45:22	16017/16017	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/s2.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/s2.jpg	(from https://p.w3layouts.com/demos/marital/web/search.html)
14:45:23	16516/16516	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/s1.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/s1.jpg	(from https://p.w3layouts.com/demos/marital/web/search.html)
